,total_return,annual_return,annual_vol,sharpe,max_drawdown,n_trades,pct_in_market,accuracy,total_cost
Buy & Hold,163.74274821406607,0.4051055015738234,0.5527503171488238,0.7328905818877203,-0.8339900882218974,1.0,0.9997355896351137,0.523406506215287,0.0005
Always Trade,-0.15799214399419537,-0.0113929363499925,0.5536201961532641,-0.020578975314040897,-0.9427093856633632,725.0,0.9997355896351137,0.5178524199947104,0.7245
Confidence Filter (70%),-0.1032918729124872,-0.007238157650845234,0.4343411904120236,-0.016664681615802986,-0.9134991528304852,1343.0,0.6221575885774723,0.5176370590735232,0.7215
Risk-Aware,-0.22087979818480208,-0.01649300641605078,0.10969861991213377,-0.1503483492250069,-0.5123887113940184,622.0,0.5790586991010047,0.5091324200913242,0.1139835902604593
