,total_return,annual_return,annual_vol,sharpe,max_drawdown,n_trades,pct_in_market,accuracy,total_cost
Buy & Hold,-0.8418106381585947,-0.2172597885437092,0.2278658330640565,-0.9534548713261203,-0.9519120405764528,1.0,0.9994728518713759,0.45569620253164556,0.0005
Always Trade,10.196275487382799,0.37835259245820607,0.2273977842533232,1.6638358799341593,-0.3476156381161727,230.0,0.9994728518713759,0.5585443037974683,0.22949999999999998
Confidence Filter (70%),13.121002905531947,0.4215091717205077,0.2041618016462514,2.06458391492279,-0.24272860015992626,442.0,0.7954665260938324,0.5712392312789927,0.24000000000000002
Risk-Aware,4.860124935229442,0.2647647978283434,0.1214686584981735,2.179696401539864,-0.1519048315767194,546.0,0.9088033737480232,0.5603248259860789,0.13629051177232687
