bin,stated_confidence,actual_accuracy,n_days
"(0.499, 0.6]",0.5491492329149233,0.4811715481171548,717
"(0.6, 0.7]",0.6606432748538011,0.49122807017543857,684
"(0.7, 0.8]",0.7616296296296297,0.5125925925925926,675
"(0.8, 0.9]",0.8599097744360903,0.5037593984962406,665
"(0.9, 1.0]",0.9667132867132866,0.5198135198135199,858
