,total_return,annual_return,annual_vol,sharpe,max_drawdown,n_trades,pct_in_market,accuracy,total_cost
Buy & Hold,18.727152654693874,0.23212425897954092,0.2824394078793545,0.8218550687469719,-0.43797171677707103,1.0,0.9997222222222222,0.5282022784106696,0.0005
Always Trade,-0.7870612860835382,-0.10261702921794069,0.2829992605880721,-0.3626052909279785,-0.8318026653651979,647.0,0.9997222222222222,0.5023617671575438,0.6465000000000001
Confidence Filter (70%),-0.2938698575220676,-0.024062664878313433,0.22897219682633052,-0.1050898983013398,-0.6671800646820838,1103.0,0.6491666666666667,0.5091998288403937,0.6095
Risk-Aware,0.12256326240421478,0.008125865909325958,0.1064539547655798,0.07633221261924718,-0.33739774453277815,1068.0,0.7816666666666666,0.5081734186211798,0.2478061433550715
