threshold,total_return,annual_return,annual_vol,sharpe,max_drawdown,n_trades,pct_in_market,accuracy,total_cost
0.5,-0.15799214399419537,-0.0113929363499925,0.5536201961532641,-0.020578975314040897,-0.9427093856633632,725.0,0.9997355896351137,0.5178524199947104,0.7245
0.55,-0.004807189290086389,-0.0003210306397766205,0.5286687453916107,-0.0006072434630854099,-0.9356960287936209,1039.0,0.9026969857218403,0.515817223198594,0.7425
0.6,0.5905125121237167,0.03140373758384607,0.5035795656064463,0.0623610244113608,-0.9237120418706362,1189.0,0.8270756213643575,0.5214194373401535,0.7535000000000001
0.65,0.4224925510994846,0.023759483086901456,0.4597446968551511,0.05167973279393195,-0.9117533311976465,1341.0,0.7046536224219989,0.5200750469043152,0.7565
0.7,-0.1032918729124872,-0.007238157650845234,0.4343411904120236,-0.016664681615802986,-0.9134991528304852,1343.0,0.6221575885774723,0.5176370590735232,0.7215
0.75,-0.30213113656888513,-0.023683949353445533,0.3913665287021555,-0.06051603194577199,-0.9364277131295244,1198.0,0.5066102591221576,0.517223382045929,0.6175
0.8,-0.4248892602267227,-0.03618894864796085,0.36530466289889757,-0.09906511556896434,-0.9496386839042508,1129.0,0.4301956636700159,0.5181315304240934,0.5735
0.85,0.7173471087556251,0.03669003910560398,0.31648081956257323,0.1159313198073597,-0.8061903015901397,910.0,0.3122686409307245,0.5351397121083827,0.4575
0.9,0.08909033129244182,0.005702709446299581,0.27604689489026013,0.02065848068519894,-0.7538109372759553,771.0,0.24352194606028557,0.5407166123778502,0.386
0.95,0.10100385516729893,0.006432028881689478,0.21707830293709324,0.02962999431386473,-0.5853950908784672,456.0,0.13458487572712852,0.5304518664047151,0.22800000000000004
1.0,-0.09674121241954203,-0.006756562735639071,0.14379277460828369,-0.04698819362826201,-0.5340916063051048,182.0,0.046800634584875725,0.5254237288135594,0.091
