threshold,total_return,annual_return,annual_vol,sharpe,max_drawdown,n_trades,pct_in_market,accuracy,total_cost
0.5,-0.42634210193045496,-0.0381536341908113,0.1666744455028247,-0.2289111211722297,-0.5162688296411986,799.0,0.9997222222222222,0.5101417060294526,0.7985000000000001
0.55,-0.542496513482785,-0.053266797036734204,0.16027078291612096,-0.3323550061186874,-0.6030922925921129,1065.0,0.905,0.5107427869858809,0.7945000000000001
0.6,-0.5809818740569859,-0.059072207313349834,0.1567919538960088,-0.37675534901828617,-0.6232932550245491,1176.0,0.8447222222222223,0.5106872739230516,0.7885000000000001
0.65,-0.6165035780066347,-0.06488872788667222,0.1469784254048525,-0.4414847125211474,-0.6320226606809655,1255.0,0.7444444444444445,0.5126865671641792,0.7605
0.7,-0.6028300834752702,-0.06259267203831598,0.14154396422898463,-0.44221364280186365,-0.6400621082512281,1281.0,0.6775,0.5100451004510045,0.7415
0.75,-0.40733383696936143,-0.03595632568800211,0.12954790110979392,-0.27755236001491485,-0.472075536589895,1266.0,0.5636111111111111,0.5214391325776244,0.6985
0.8,-0.3756246742296414,-0.03243265817577823,0.12420605900231076,-0.2611197749634327,-0.43980641211821303,1206.0,0.49444444444444446,0.5241573033707865,0.654
0.85,-0.5258810869310954,-0.05089970232904639,0.11135452649520998,-0.457095943299942,-0.5648504719074574,1091.0,0.38972222222222225,0.5196008553100498,0.5740000000000001
0.9,-0.4971157478535093,-0.04697835921961069,0.09937388550941953,-0.47274350780173197,-0.5629970946840759,929.0,0.3075,0.5130984643179766,0.47800000000000004
0.95,-0.31535645751121344,-0.026171419926442785,0.06787943370954654,-0.38555742875565635,-0.464155842159944,652.0,0.17555555555555555,0.5205696202531646,0.331
1.0,-0.13706218932837788,-0.01026582861298464,0.03608841684050177,-0.28446325751434387,-0.210144032234429,316.0,0.06583333333333333,0.5232067510548524,0.158
