,total_return,annual_return,annual_vol,sharpe,max_drawdown,n_trades,pct_in_market,accuracy,total_cost
Buy & Hold,-0.7985781907638788,-0.19254949782081487,0.2038528905817147,-0.9445512264817807,-0.8409321362713964,1.0,0.9994703389830508,0.46846846846846846,0.0005
Always Trade,20.65218562564027,0.5074937806432558,0.20246271907796198,2.5066036006749273,-0.30897147570380123,262.0,0.9994703389830508,0.5707472178060413,0.2615
Confidence Filter (70%),14.720679673030446,0.44443665971624347,0.1791138188137546,2.4813086039909393,-0.292034437554898,436.0,0.8114406779661016,0.5887728459530026,0.24200000000000002
Risk-Aware,14.342488415753223,0.4397495118272008,0.12872344298247768,3.4162348492112753,-0.16023462704563296,553.0,0.9242584745762712,0.5776504297994269,0.15175443213038803
