threshold,total_return,annual_return,annual_vol,sharpe,max_drawdown,n_trades,pct_in_market,accuracy,total_cost
0.5,20.65218562564027,0.5074937806432558,0.20246271907796198,2.5066036006749273,-0.30897147570380123,262.0,0.9994703389830508,0.5707472178060413,0.2615
0.55,19.88248626799559,0.5002283582714362,0.19562861621719338,2.5570306018832443,-0.2874414378032416,329.0,0.9438559322033898,0.5774410774410774,0.24800000000000003
0.6,19.508809525571504,0.4966170752200352,0.19210199928748758,2.5851739027287777,-0.28744143780324183,388.0,0.9104872881355932,0.578824898196626,0.255
0.65,16.62408797500145,0.4666401078561906,0.18477802568325954,2.5254091017082834,-0.2877761736852654,428.0,0.8532838983050848,0.5872129112352577,0.24900000000000003
0.7,14.720679673030446,0.44443665971624347,0.1791138188137546,2.4813086039909393,-0.292034437554898,436.0,0.8114406779661016,0.5887728459530026,0.24200000000000002
0.75,14.057147496961575,0.4361463819890443,0.17441559458410816,2.500615744991324,-0.28942486827391856,442.0,0.7505296610169492,0.5942131263232181,0.232
0.8,14.220483957322905,0.4382160727531934,0.16736940533955338,2.61825673494003,-0.27534421292709577,428.0,0.7044491525423728,0.5992481203007519,0.22099999999999997
0.85,14.634285790904611,0.443374609382142,0.15327188766025687,2.89273275191161,-0.19803316291409467,428.0,0.6255296610169492,0.6079593564775614,0.21700000000000003
0.9,19.398424076236303,0.49553938087587657,0.14383900721613307,3.445097338104379,-0.13868491006415773,401.0,0.5646186440677966,0.624765478424015,0.202
0.95,12.466996205932588,0.4149103818569755,0.1277466023884141,3.2479171586531805,-0.14214959455595555,360.0,0.4210805084745763,0.6389937106918239,0.18
1.0,7.552443464666453,0.3317121009470585,0.10786356284852608,3.0752933816295798,-0.10841911135649873,270.0,0.2992584745762712,0.6513274336283186,0.135
