bin,stated_confidence,actual_accuracy,n_days
"(0.499, 0.6]",0.5509798270893371,0.5043227665706052,694
"(0.6, 0.7]",0.6618456375838926,0.5050335570469798,596
"(0.7, 0.8]",0.7579029733959312,0.4835680751173709,639
"(0.8, 0.9]",0.8611500701262272,0.5371669004207573,713
"(0.9, 1.0]",0.9639916405433646,0.5151515151515151,957
