bin,stated_confidence,actual_accuracy,n_days
"(0.499, 0.6]",0.5529901960784314,0.5134803921568627,816
"(0.6, 0.7]",0.6596560846560846,0.5304232804232805,756
"(0.7, 0.8]",0.7603537414965986,0.5006802721088436,735
"(0.8, 0.9]",0.8587826086956521,0.5101449275362319,690
"(0.9, 1.0]",0.9631632653061225,0.5331632653061225,784
