,total_return,annual_return,annual_vol,sharpe,max_drawdown,n_trades,pct_in_market,accuracy,total_cost
Buy & Hold,6.351118462386551,0.14985939897311895,0.16636082961711093,0.9008093991718424,-0.3371728080780809,1.0,0.9997222222222222,0.5523756599055293,0.0005
Always Trade,-0.42634210193045496,-0.0381536341908113,0.1666744455028247,-0.2289111211722297,-0.5162688296411986,799.0,0.9997222222222222,0.5101417060294526,0.7985000000000001
Confidence Filter (70%),-0.6028300834752702,-0.06259267203831598,0.14154396422898463,-0.44221364280186365,-0.6400621082512281,1281.0,0.6775,0.5100451004510045,0.7415
Risk-Aware,-0.40242047009150195,-0.03539901767368647,0.08534406320677033,-0.4147800836236524,-0.4421052877426024,1588.0,0.8627777777777778,0.5125563425627817,0.4848605955188865
